day_of_week,start_time,end_time,location,applicant,latitude,longitude,cold_truck
Wednesday,10:00,11:00,1 THOMAS MORE WAY,"SOHOMEI, LLC",37.7129,-122.4727,Y
Wednesday,11:00,14:00,44 MARY ST,"Off the Grid Services, LLC",37.7814,-122.4065,N
Sunday,08:00,22:00,345 WILLIAMS AVE,Tacos El Primo,37.7301,-122.3992,N
Thursday,06:00,24:00,331 POWELL ST,San Francisco Carts & Concessions,37.7876,-122.4084,N
Thursday,08:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Friday,11:00,19:00,801 MARKET ST,FRUITYMANIA,37.7857,-122.4058,N
Wednesday,09:00,10:00,1301 CESAR CHAVEZ ST,Quan Catering,37.7501,-122.3905,Y
Monday,08:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Monday,11:00,15:00,301 PINE ST,San Francisco's Hometown Creamery,37.7921,-122.4009,N
Thursday,04:00,05:00,1309 INGALLS ST,Singh Brothers Ice Cream,37.7305,-122.3823,Y
Thursday,11:00,15:00,425 CALIFORNIA ST,San Francisco's Hometown Creamery,37.793,-122.4015,N
Tuesday,10:00,19:00,1717 HARRISON ST,El Tonayanse #4 / #36,37.7693,-122.4133,N
Monday,11:00,19:00,801 MARKET ST,FRUITYMANIA,37.7857,-122.4058,N
Tuesday,11:00,19:00,801 MARKET ST,FRUITYMANIA,37.7857,-122.4058,N
Wednesday,06:00,18:00,699 08TH ST,Athena SF Gyro,37.7701,-122.4039,N
Monday,09:00,10:00,2555 BAY SHORE BLVD,Quan Catering,37.7095,-122.4046,Y
Thursday,01:00,02:00,1240 MINNESOTA ST,"SOHOMEI, LLC",37.7547,-122.39,Y
Wednesday,03:00,04:00,195 KISKA RD,Singh Brothers Ice Cream,37.73,-122.377,Y
Monday,06:00,18:00,699 08TH ST,Athena SF Gyro,37.7701,-122.4039,N
Monday,10:00,16:00,401 TREAT AVE,El Tonayense #60,37.7638,-122.4135,N
Thursday,10:00,14:00,602 MISSION ST,Truly Food & More,37.788,-122.3999,N
Monday,09:00,16:00,1133 MISSION ST,"Kabob Trolley, LLC",37.7786,-122.4115,N
Friday,11:00,12:00,3300 CESAR CHAVEZ ST,"SOHOMEI, LLC",37.7483,-122.4159,Y
Friday,11:00,14:00,217 SANSOME ST,Truly Food & More,37.7923,-122.401,N
Wednesday,07:00,16:00,1610 ARMSTRONG AVE,Tacos Lol-Tun,37.7264,-122.3924,N
Thursday,11:00,12:00,500 SELBY ST,Quan Catering,37.7443,-122.3958,Y
Thursday,11:00,14:00,505 HOWARD ST,Truly Food & More,37.7884,-122.3961,N
Tuesday,11:00,14:00,505 HOWARD ST,Truly Food & More,37.7884,-122.3961,N
Wednesday,11:00,14:00,602 MISSION ST,Truly Food & More,37.788,-122.3999,N
Tuesday,11:00,12:00,350 FREMONT ST,Mini Mobile Food Catering,37.7873,-122.3929,Y
Tuesday,08:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Friday,09:00,16:00,551 03RD ST,Tacos El Ojo De Agua,37.7807,-122.395,N
Wednesday,11:00,19:00,801 MARKET ST,FRUITYMANIA,37.7857,-122.4058,N
Saturday,11:00,19:00,801 MARKET ST,FRUITYMANIA,37.7857,-122.4058,N
Wednesday,06:00,18:00,699 08TH ST,Athena SF Gyro,37.7701,-122.4039,N
Saturday,11:00,22:00,281 GEARY ST,San Francisco's Hometown Creamery,37.7873,-122.4079,N
Saturday,11:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Wednesday,08:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Sunday,11:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Friday,08:00,19:00,870 MARKET ST,FRUITYMANIA,37.7849,-122.4071,N
Monday,11:00,21:00,1 MONTGOMERY ST,San Francisco's Hometown Creamery,37.7891,-122.4021,N
Friday,11:00,15:00,301 PINE ST,San Francisco's Hometown Creamery,37.7921,-122.4009,N
Sunday,11:00,22:00,281 GEARY ST,San Francisco's Hometown Creamery,37.7873,-122.4079,N
Tuesday,18:00,23:00,340 POST ST,San Francisco's Hometown Creamery,37.7885,-122.4075,N
Wednesday,11:00,15:00,301 PINE ST,San Francisco's Hometown Creamery,37.7921,-122.4009,N
Thursday,04:00,05:00,1698 KIRKWOOD AVE,Singh Brothers Ice Cream,37.7392,-122.3917,Y
Thursday,12:00,13:00,50 CALIFORNIA ST,Quan Catering,37.7936,-122.397,Y
Saturday,10:00,18:00,3055 23RD ST,El Gallo Jiro,37.7541,-122.4132,N
Wednesday,10:00,15:00,400 MONTGOMERY ST,HalalCartSF LLC,37.7929,-122.4027,N
Thursday,09:00,15:00,1 MARKET ST,HalalCartSF LLC,37.7944,-122.3947,N
Monday,11:00,14:00,217 SANSOME ST,Truly Food & More,37.7923,-122.401,N
Wednesday,11:00,14:00,505 HOWARD ST,Truly Food & More,37.7884,-122.3961,N
Tuesday,11:00,14:00,217 SANSOME ST,Truly Food & More,37.7923,-122.401,N
Tuesday,06:00,18:00,699 08TH ST,Athena SF Gyro,37.7701,-122.4039,N
Wednesday,11:00,15:00,400 CALIFORNIA ST,Serendipity SF,37.7931,-122.4012,N
Wednesday,08:00,16:00,525 MARKET ST,CC Acquisition LLC,37.7905,-122.3996,N
Wednesday,10:00,11:00,1500 TENNESSEE ST,F & C Catering,37.7524,-122.3888,Y
Thursday,06:00,09:00,2890 03RD ST,F & C Catering,37.753,-122.3879,Y
Tuesday,00:00,02:00,30 GROVE ST,Street Meet,37.7788,-122.4158,N
Tuesday,12:00,13:00,800 JAMESTOWN AVE,Singh Brothers Ice Cream,37.7162,-122.39,Y
Tuesday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
